Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && res_tmp % k_PTRS_PER_MAX == 0, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
allocate,  res_tmp == 0 || (res_tmp != 0 && (((UintPtr) res_tmp & ((sizeof(void *) - 1) | lowBits))) == 0), 0, 0
allocationLimit,  true, 209275, 0
findBasename, strlen(pathName), 0, 0
resolve,  res_tmp == -1, 0, 0
printStackTrace,  &res_tmp == &stream, 0, 0
operator<<,  res_tmp == stream, 0, 0
print,  res_tmp == stream, 0, 0
print,  &res_tmp == &stream, 0, 0
operator<<,  res_tmp.bad() == stream.bad(), 0, 0
operator(),  res_tmp >= 0, 2, 0
getIdentifierOctets,  true, 61, 0
getIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
putIdentifierOctets,  res_tmp == 0 || res_tmp == -1, 61, 0
getNumOctetsToStream,  res_tmp >= 1 && res_tmp <= 2, 26, 0
isValidTimezoneOffsetInMinutes,  res_tmp == ((k_MIN_OFFSET <= value) && (k_MAX_OFFSET >= value)), 10891500, 0
lookupAttributeInfo,  res_tmp != NULL, 0, 0
toString,  res_tmp != NULL, 0, 0
startPos,  res_tmp >= 0, 129, 0
logError,  res_tmp == rc, 90, 0
logError, e_BER_ERROR, 0, 0
nodeTypeAsString,  res_tmp != NULL, 0, 0
parseBoolean,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 18, 0
parseDoubleImpl,  res_tmp == 0 || res_tmp == -1, 474, 0
parseDouble,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 474, 0
parseInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 251, 0
parseUnsignedInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 48, 0
parseDecimal64Impl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 170, 0
parse,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 14177, 0
errorSeverity, e_NO_ERROR, 0, 0
nonNullStr,  res_tmp != NULL, 2, 0
toChar,  true, 36, 0
unicodeToUtf8,  res_tmp >= 0, 11, 0
setError,  res_tmp == 0 || res_tmp == -1, 1674, 0
errorInfo,  &res_tmp == &d_errorInfo, 0, 4
skipSpaces,  res_tmp == 0 || res_tmp != ' ' && res_tmp != '\t' && res_tmp != '\r', 547174, 0
lookupPredefinedPrefix,  true, 2, 0
pushPrefix,  res_tmp == -1 || res_tmp >= 0, 28, 0
lookupNamespaceId,  true, 27, 0
nonNullStr,  res_tmp != NULL, 31, 0
doOpen,  true, 15, 0
allocator,  res_tmp != NULL, 0, 0
getFormatterInitialIndentLevel,  res_tmp == 0 || res_tmp == options.initialIndentLevel(), 735, 0
prefix,  res_tmp != NULL, 5, 0
operator=,  &res_tmp == this, 0, 0
addBlankLine,  true, 0, 0
