Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && (res_tmp % k_PTRS_PER_MAX) == 0, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
allocationLimit,  true, 209275, 0
resolve,  res_tmp == -1, 0, 0
operator(),  res_tmp >= d_oldSize && res_tmp <= d_oldSize + newSize, 2, 0
getIdentifierOctets,  true, 61, 0
getIdentifierOctets,  res_tmp == 0 || res_tmp == -1, 61, 0
putIdentifierOctets,  res_tmp == 0 || res_tmp == -1, 61, 0
getNumOctetsToStream,  res_tmp >= 1, 26, 0
startPos,  res_tmp >= 0, 129, 0
logError,  res_tmp == d_decoder->logError(msg), 90, 0
parseBoolean,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 18, 0
parseDoubleImpl,  res_tmp == 0 || res_tmp == -1, 474, 0
parseDouble,  res_tmp == 0 || res_tmp == -1, 474, 0
parseInt,  res_tmp == 0 || res_tmp == -1, 251, 0
parseUnsignedInt,  res_tmp == 0 || res_tmp == -1, 48, 0
parseDecimal64Impl,  res_tmp == 0 || res_tmp == -1, 170, 0
parse,  res_tmp == 0 || res_tmp == -1, 14177, 0
unicodeToUtf8,  res_tmp >= 0 && res_tmp <= 4, 0, 0
setError,  res_tmp == 0 || res_tmp == -1, 1674, 0
skipSpaces,  isprint(res_tmp), 0, 0
pushPrefix,  res_tmp >= 0, 28, 0
lookupNamespaceId,  res_tmp >= 0, 18, 9
doOpen,  res_tmp == 0 || res_tmp > 0, 4900, 207
getFormatterInitialIndentLevel,  res_tmp == 0 || res_tmp == options.initialIndentLevel(), 735, 0
lookupPredefinedId, e_PREDEF_MAX, 0, 0
encodeCharArray,  res_tmp == encodeSimpleValue(formatter$ base64String$ encoderOptions), 650, 0
decodeObject,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3 || res_tmp == -4, 1137, 0
decodeArray,  res_tmp == 0 || res_tmp == -4 || res_tmp == -1 || res_tmp == -2, 3002, 0
extractValue,  res_tmp == 0 || res_tmp == -1, 1646, 0
encodeArray,  res_tmp == 0, 466, 0
encodeObject,  res_tmp == 0 || res_tmp != 0, 599, 0
decode,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3, 1719, 0
getUnquotedString,  res_tmp == 0, 57, 48
fromAsciiCaseless,  res_tmp == 0 || res_tmp == -1, 87, 0
getRecordPtr,  res_tmp != NULL && res_tmp->fixedFields().getFileName() == fileName && res_tmp->fixedFields().getLineNumber() == lineNumber, 0, 0
format,  res_tmp == -1 || res_tmp >= 0, 1753, 0
hash,  0 <= res_tmp && res_tmp < size, 69, 0
deregisterObserver,  res_tmp == 0 || res_tmp == 1, 25, 0
findObserver,  res_tmp.get() == NULL || res_tmp->getName() == observerName, 0, 0
getDefaultFormat,  res_tmp.size() == 256, 0, 0
parse,  res_tmp == 0 || res_tmp == -1, 7059, 0
setFormat,  res_tmp == -1 || res_tmp == 0, 71333, 0
