encodeCharArray,  res_tmp == encodeSimpleValue(formatter$ base64String$ encoderOptions), 650, 0
decodeObject,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3 || res_tmp == -4, 1137, 0
decodeArray,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -4, 3002, 0
extractValue,  res_tmp == 0 || res_tmp == -1, 1646, 0
encodeArray,  res_tmp == 0 || res_tmp!= 0, 466, 0
encodeObject,  res_tmp == 0 || res_tmp!= 0, 599, 0
decode,  res_tmp == -1 || res_tmp == -2 || res_tmp == -3, 832, 887
getUnquotedString,  res_tmp == 0 || res_tmp!= 0, 105, 0
fromAsciiCaseless,  res_tmp == 0 || res_tmp == -1, 87, 0
getRecordPtr,  res_tmp->fixedFields().getFileName() == fileName && res_tmp->fixedFields().getLineNumber() == lineNumber, 0, 0
format,  res_tmp == -1 || res_tmp <= numBytes, 0, 0
hash,  0 <= res_tmp && res_tmp < size, 69, 0
deregisterObserver,  res_tmp == 0 || res_tmp == 1, 25, 0
findObserver,  res_tmp == nullptr || res_tmp!= nullptr, 50, 0
getDefaultFormat,  res_tmp.size() == 9, 0, 0
parse,  res_tmp == 0 || res_tmp == -1, 7059, 0
setFormat,  res_tmp == -1 || res_tmp!= -1 && (0 <= res_tmp && res_tmp <= 3), 71333, 0
fromAscii,  res_tmp == 0 || res_tmp == -1, 45, 0
setLevels,  res_tmp == 0 || res_tmp == -1, 0, 0
hash,  0 <= res_tmp && res_tmp < size, 134790, 0
addCategory,  res_tmp == 0 || res_tmp!= 0, 45, 0
defaultRecordBufferSize,  res_tmp == d_recordBufferSize, 7, 0
hash,  0 <= res_tmp && res_tmp < size, 906466, 0
getErrorCode,  res_tmp!= 0, 0, 0
getTimestampSuffix,  isTimestamp(res_tmp), 0, 0
openLogFile,  res_tmp == 0 || res_tmp == -1, 0, 0
computeNextRotationTime,  res_tmp >= fileCreationTimeUtc, 0, 0
addRule,  (res_tmp == -1 && value in d_ruleHashtable) || (res_tmp == -2 && d_ruleHashtable.size() >= maxNumRules()) || (res_tmp >= 0 && value in d_ruleHashtable && d_ruleHashtable.size() < maxNumRules()), 0, 0
ruleId, d_ruleAddresses.size()), 0, 0
hash,  0 <= res_tmp && res_tmp < size, 61, 0
addCollector,  res_tmp == 0 || res_tmp == 1, 19, 0
getZoneinfoId,  res_tmp == 0 || res_tmp == -1, 108, 0
lookupTimeZone,  res_tmp == 0 || res_tmp!= 0, 146, 0
findTransitionWithDstFlag,  res_tmp == timeZone.endTransitions() || res_tmp!= timeZone.endTransitions() && res_tmp->descriptor().dstInEffectFlag() == dstFlag, 54, 0
convertUtcToLocalTime,  res_tmp == 0 || res_tmp!= 0, 55, 311
configureImp,  res_tmp >= 0, 85, 0
validateTimeZoneId,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2, 403, 0
loadTimeZoneImpl, UNSPECIFIED_ERROR || res_tmp == 0, 13, 0
loadTimeZoneFilePath, loadTimeZoneFilePath_Impl(result$ timeZoneId$ d_rootPath), 0, 0
readRawTz,  res_tmp == -1 || res_tmp == -2 || res_tmp == 0, 427, 0
decode32,  res_tmp >= 0 && res_tmp < 2^32, 12608, 0
readHeader,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3 || res_tmp == -4 || res_tmp == -5 || res_tmp == -6 || res_tmp == -7 || res_tmp == -8 || res_tmp == -9, 1290, 0
read,  res_tmp == readImpl(zoneinfoResult$ &description$ k_READ_NORMALIZED$ stream), 0, 378
convertUtcToLocalTime, k_OUT_OF_RANGE, 0, 0
addInterval,  res_tmp == 0, 14, 0
constraint,  res_tmp!= NULL, 24714, 0
validate,  res_tmp == 0 || res_tmp!= 0, 1919671, 0
parseEnvironmentVariable,  (res_tmp == 1 || res_tmp == -1 || res_tmp >= 0 && res_tmp <= elements.size()), 0, 0
findName,  res_tmp == -1 || res_tmp >= 0 && res_tmp < d_options.size(), 384473, 0
index,  res_tmp >= 0 || res_tmp == -1, 19816, 0
calculateNumberOfUnitsToDrain,  res_tmp > 0, 249157, 12697709
calculateTimeToSubmit, TimeInterval(0$ 0), 0, 0
registerHandler,  res_tmp == 0 || res_tmp == 1, 75, 0
calculateTimeToSubmit,  res_tmp >= timeToSubmitPeak && res_tmp >= timeToSubmitSustained, 752, 0
addGeneralPublisher,  res_tmp == -1 || res_tmp == 0, 345, 0
registerCollectionCallback,  res_tmp >= 0, 124816, 0
registerCollectionCallback,  res_tmp!= NULL, 2, 2
setFormat,  res_tmp == 0 || res_tmp == -1, 50, 0
insertId,  res_tmp.first!= 0 && res_tmp.second == true || res_tmp.first!= 0 && res_tmp.second == false, 3219, 0
numMetrics,  res_tmp >= 0, 104, 0
makeInvalidInterval,  true, 30812, 0
calculateNextBufferSize,  res_tmp >= size || res_tmp <= d_maxBufferSize, 0, 0
absLevel,  res_tmp >= 0, 115, 0
getNumDeletes,  true, 0, 0
getNumDeletes,  res_tmp >= 0, 0, 0
getProcessName,  res_tmp == 0 || res_tmp == -1, 0, 0
compare,  res_tmp == compare(expected$ strlen(expected)), 0, 0
getComponentName,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3, 0, 0
vsnprintf_alwaysCount,  res_tmp >= 0, 0, 0
vsnprintf_allocate,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2, 0, 0
lagTime,  res_tmp == 0 || res_tmp > 0, 76, 0
