Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && res_tmp % k_PTRS_PER_MAX == 0, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
allocate,  res_tmp != NULL && res_tmp > 0, 0, 0
allocationLimit,  res_tmp == d_allocationLimit.loadRelaxed(), 209275, 0
findBasename,  res_tmp != pathName && res_tmp != NULL, 150, 80
resolve,  res_tmp == -1, 0, 0
printStackTrace,  res_tmp != NULL, 0, 0
operator<<,  &res_tmp == &stream, 0, 0
print,  res_tmp is a valid reference to the stream object, 0, 0
print,  res_tmp != NULL, 0, 0
operator<<,  res_tmp != NULL, 0, 0
operator(),  res_tmp == d_oldSize + nRead, 2, 0
getIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
putIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
getNumOctetsToStream,  res_tmp >= 0, 26, 0
isValidTimezoneOffsetInMinutes,  res_tmp == true, 10891485, 15
lookupAttributeInfo,  res_tmp != 0, 0, 0
toString,  res_tmp != "(* UNKNOWN *)", 0, 0
startPos,  res_tmp >= 0, 129, 0
logError,  ErrorSeverity, 0, 0
logError, BER_ERROR), 0, 0
nodeTypeAsString,  res_tmp != "(* UNKNOWN NODE TYPE *)", 0, 0
parseBoolean,  res_tmp == (*result) && res_tmp == BAEXML_SUCCESS, 9, 9
parseDoubleImpl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 474, 0
parseDouble,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 474, 0
parseInt,  res_tmp == BAEXML_SUCCESS && consumed == inputLength, 251, 0
parseUnsignedInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 48, 0
parseDecimal64Impl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 170, 0
parse,  res_tmp == 0 || res_tmp == -1, 14177, 0
errorSeverity, e_NO_ERROR, 0, 0
nonNullStr,  res_tmp != "" && res_tmp != NULL, 3, 213
toChar,  res_tmp >= 0 && res_tmp < UCHAR_MAX, 7, 27
unicodeToUtf8,  res_tmp >= 0, 11, 0
setError,  res_tmp == 0 || res_tmp == -1, 1674, 0
errorInfo,  res_tmp != nullptr, 2, 0
skipSpaces,  res_tmp != 0, 284, 4
lookupPredefinedPrefix,  res_tmp != nullPrefix, 0, 0
pushPrefix,  d_prefixes[res_tmp].first == prefix && d_prefixes[res_tmp].second == nsId && (unsigned) d_numPrefixes == res_tmp + 1, 23, 5
lookupNamespaceId,  res_tmp >= 0, 18, 9
nonNullStr,  res_tmp != "" && res_tmp != NULL, 5, 26
doOpen,  res_tmp == 0 || res_tmp != 0 && res_tmp < 0, 15, 0
allocator,  res_tmp != NULL, 0, 0
getFormatterInitialIndentLevel, COMPACT && res_tmp == 0, 0, 0
prefix,  res_tmp != NULL, 5, 0
operator=,  d_mode == rhs.d_mode && d_compact.object() != NULL && d_pretty.object() != NULL, 0, 0
